task,fold,model,model_group,noise_sigma,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
COADREAD_molecular_subtype,3,hist_gradient_boosting,boosting,0.2,45,0.8666666666666667,0.6666666666666666,0.7388888888888889,0.9911939911939912
COADREAD_molecular_subtype,3,hist_gradient_boosting,boosting,0.3,45,0.8222222222222222,0.5555555555555555,0.5722222222222223,0.9596607096607097
COADREAD_molecular_subtype,3,hist_gradient_boosting,boosting,0.5,45,0.8222222222222222,0.5555555555555556,0.6147576147576147,0.9542864542864543
COADREAD_molecular_subtype,3,mlp_early_fusion,static_nn,0.0,45,0.9333333333333333,0.9696969696969697,0.9174603174603174,0.9923594923594924
COADREAD_molecular_subtype,3,mlp_early_fusion,static_nn,0.05,45,0.9333333333333333,0.9696969696969697,0.9174603174603174,0.9923594923594924
COADREAD_molecular_subtype,3,mlp_early_fusion,static_nn,0.1,45,0.9333333333333333,0.9696969696969697,0.9174603174603174,0.9937839937839937
COADREAD_molecular_subtype,3,mlp_early_fusion,static_nn,0.2,45,0.9333333333333333,0.9696969696969697,0.9174603174603174,0.9923594923594924
COADREAD_molecular_subtype,3,mlp_early_fusion,static_nn,0.3,45,0.9333333333333333,0.9696969696969697,0.9174603174603174,0.9923594923594924
COADREAD_molecular_subtype,3,mlp_early_fusion,static_nn,0.5,45,0.9333333333333333,0.9696969696969697,0.9174603174603174,0.992942242942243
COADREAD_molecular_subtype,3,liquid_cfc_modality_sequence,liquid_nn,0.0,45,0.9333333333333333,0.8787878787878788,0.8733488733488733,0.988085988085988
COADREAD_molecular_subtype,3,liquid_cfc_modality_sequence,liquid_nn,0.05,45,0.9333333333333333,0.8787878787878788,0.8733488733488733,0.988085988085988
COADREAD_molecular_subtype,3,liquid_cfc_modality_sequence,liquid_nn,0.1,45,0.9333333333333333,0.8787878787878788,0.8733488733488733,0.9895104895104895
COADREAD_molecular_subtype,3,liquid_cfc_modality_sequence,liquid_nn,0.2,45,0.9333333333333333,0.8787878787878788,0.8733488733488733,0.988085988085988
COADREAD_molecular_subtype,3,liquid_cfc_modality_sequence,liquid_nn,0.3,45,0.9333333333333333,0.9242424242424243,0.8870192307692308,0.9852369852369852
COADREAD_molecular_subtype,3,liquid_cfc_modality_sequence,liquid_nn,0.5,45,0.9111111111111111,0.914141414141414,0.8839285714285715,0.9753302253302253
COADREAD_molecular_subtype,3,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,45,0.9777777777777777,0.98989898989899,0.9692307692307693,0.9963092463092463
COADREAD_molecular_subtype,3,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,45,0.9777777777777777,0.98989898989899,0.9692307692307693,0.9963092463092463
COADREAD_molecular_subtype,3,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,45,0.9777777777777777,0.98989898989899,0.9692307692307693,0.9963092463092463
COADREAD_molecular_subtype,3,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,45,0.9777777777777777,0.98989898989899,0.9692307692307693,0.9991582491582491
COADREAD_molecular_subtype,3,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,45,0.9555555555555556,0.9797979797979798,0.9419642857142857,0.9917767417767417
COADREAD_molecular_subtype,3,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,45,0.9111111111111111,0.914141414141414,0.8839285714285715,0.9872442372442373
COADREAD_molecular_subtype,4,logistic_elasticnet,linear,0.0,45,0.8666666666666667,0.8030303030303031,0.8011988011988013,0.9455451955451956
COADREAD_molecular_subtype,4,logistic_elasticnet,linear,0.05,45,0.8666666666666667,0.8030303030303031,0.8011988011988013,0.9426961926961926
