task,model,model_group,noise_sigma,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.5,10,0.8626792287009521,0.05233336964810799,0.9761886554053086
UCEC_molecular_subtype,logistic_elasticnet,linear,0.0,10,0.8890644647140998,0.06155506530476795,0.9818199134633193
UCEC_molecular_subtype,logistic_elasticnet,linear,0.05,10,0.8899111670313905,0.060662428304069455,0.9812174088075858
UCEC_molecular_subtype,logistic_elasticnet,linear,0.1,10,0.8951010914860209,0.0601941371205093,0.9816390947305974
UCEC_molecular_subtype,logistic_elasticnet,linear,0.2,10,0.8885703895863672,0.05486096352145796,0.9809690328841919
UCEC_molecular_subtype,logistic_elasticnet,linear,0.3,10,0.8946824624657225,0.04997661526750258,0.9808749302963046
UCEC_molecular_subtype,logistic_elasticnet,linear,0.5,10,0.8944352997290184,0.06449016190014151,0.982127798614127
UCEC_molecular_subtype,mlp_early_fusion,static_nn,0.0,10,0.8798213891921607,0.03766008685604722,0.978686392924066
UCEC_molecular_subtype,mlp_early_fusion,static_nn,0.05,10,0.8800486270775604,0.03809274961908553,0.9786645675272405
UCEC_molecular_subtype,mlp_early_fusion,static_nn,0.1,10,0.8805318615155363,0.0377256736489854,0.9782810411437142
UCEC_molecular_subtype,mlp_early_fusion,static_nn,0.2,10,0.8764336894953676,0.04350806650349611,0.9790372839950516
UCEC_molecular_subtype,mlp_early_fusion,static_nn,0.3,10,0.8749206106143186,0.03750019362937832,0.9792074572853495
UCEC_molecular_subtype,mlp_early_fusion,static_nn,0.5,10,0.8737016534547083,0.03586390559043641,0.9789363594914361
UCEC_molecular_subtype,random_forest,tree_ensemble,0.0,10,0.8875151453830787,0.05588310592490272,0.9808723240611499
UCEC_molecular_subtype,random_forest,tree_ensemble,0.05,10,0.8886370813707766,0.06660292634881565,0.9800519755554735
UCEC_molecular_subtype,random_forest,tree_ensemble,0.1,10,0.8737136473872349,0.060849348041827976,0.9807724639675192
UCEC_molecular_subtype,random_forest,tree_ensemble,0.2,10,0.874875726839919,0.06274389348328224,0.9792104198954377
UCEC_molecular_subtype,random_forest,tree_ensemble,0.3,10,0.8534450654643189,0.04756507300052241,0.977716491110165
UCEC_molecular_subtype,random_forest,tree_ensemble,0.5,10,0.7581083083861008,0.046814782213233194,0.9744681036965526
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,10,0.8721544926919977,0.059062834628355126,0.9810809399674019
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,10,0.8744934282662273,0.05624081534782164,0.9812733175157577
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,10,0.8731736437917939,0.0592671122070641,0.9808253679099268
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,10,0.8825158687758063,0.045872631134636174,0.9797724288917967
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,10,0.8623208549644827,0.06044933000554424,0.9807369824745333
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,10,0.8749513912384627,0.03959198310204967,0.9752936894755713
