training_scale,seed,model,model_group,split,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
expanded_tcga_metabric_scanb_smc,44,linear_svm_calibrated,linear_svm,valid,907,0.8632855567805954,0.7702652726076866,0.8007550408106308,0.9798469878172454
expanded_tcga_metabric_scanb_smc,44,linear_svm_calibrated,linear_svm,cptac_external,122,0.9016393442622951,0.7613535868067736,0.7786681945505476,0.9770411325787614
expanded_tcga_metabric_scanb_smc,44,lda_shrinkage,linear_discriminant,train,5135,0.866601752677702,0.8114025319706814,0.8290054194453693,0.9751065814114626
expanded_tcga_metabric_scanb_smc,44,lda_shrinkage,linear_discriminant,valid,907,0.8621830209481808,0.7892669092688976,0.8131128623208912,0.9738118532233223
expanded_tcga_metabric_scanb_smc,44,lda_shrinkage,linear_discriminant,cptac_external,122,0.8934426229508197,0.7943360429471243,0.7988620192068469,0.9844071196210311
expanded_tcga_metabric_scanb_smc,44,gaussian_nb,probabilistic,train,5135,0.7920155793573516,0.7981436515551887,0.769526004759184,0.9560320399279432
expanded_tcga_metabric_scanb_smc,44,gaussian_nb,probabilistic,valid,907,0.7905181918412348,0.7849866160882267,0.7623689385320039,0.9561478377935441
expanded_tcga_metabric_scanb_smc,44,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8183552131417077,0.981174031658161
expanded_tcga_metabric_scanb_smc,44,knn_distance,instance_based,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,44,knn_distance,instance_based,valid,907,0.844542447629548,0.7278900095066332,0.7724503285842113,0.9690262106526477
expanded_tcga_metabric_scanb_smc,44,knn_distance,instance_based,cptac_external,122,0.8524590163934426,0.6574880405882861,0.6799682539682539,0.9759261396951538
expanded_tcga_metabric_scanb_smc,44,random_forest,tree_ensemble,train,5135,0.9998052580331062,0.9998348472336911,0.9997572614059855,0.9999955502245392
expanded_tcga_metabric_scanb_smc,44,random_forest,tree_ensemble,valid,907,0.8996692392502756,0.8298530944762799,0.8585755805685424,0.9844301835076532
expanded_tcga_metabric_scanb_smc,44,random_forest,tree_ensemble,cptac_external,122,0.9098360655737705,0.7682501385309115,0.791634906231095,0.9909554268012066
expanded_tcga_metabric_scanb_smc,44,extra_trees,tree_ensemble,train,5135,0.9998052580331062,0.9998348472336911,0.9997572614059855,1.0
expanded_tcga_metabric_scanb_smc,44,extra_trees,tree_ensemble,valid,907,0.8875413450937155,0.8146377954252284,0.8427825408529628,0.9846727377149127
expanded_tcga_metabric_scanb_smc,44,extra_trees,tree_ensemble,cptac_external,122,0.9016393442622951,0.7647413666010869,0.7849179467200179,0.9895781318916933
expanded_tcga_metabric_scanb_smc,44,hist_gradient_boosting,boosting,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,44,hist_gradient_boosting,boosting,valid,907,0.9173098125689085,0.8794025329082,0.8905932695844566,0.9890246161484418
expanded_tcga_metabric_scanb_smc,44,hist_gradient_boosting,boosting,cptac_external,122,0.9180327868852459,0.8447413666010869,0.8696447230929991,0.9860363382542137
